system:index,air_temp,elevation,lat,lng,lst,lulc,year,.geo
34,25.1715757309031,83,25.43132593360137,82.92189846394106,21.925920740000038,1,1996,"{""type"":""Point"",""coordinates"":[82.92189846394106,25.43132593360137]}"
35,25.411672539906988,81,25.240526353350642,82.91160828143802,25.049991019999993,1,1996,"{""type"":""Point"",""coordinates"":[82.91160828143802,25.240526353350642]}"
36,25.21100054004961,73,25.35180070927059,83.13257241967364,19.902452900000014,3,1996,"{""type"":""Point"",""coordinates"":[83.13257241967364,25.35180070927059]}"
37,25.411672539906988,82,25.234736949239274,82.89272263432336,27.15207332,3,1996,"{""type"":""Point"",""coordinates"":[82.89272263432336,25.234736949239274]}"
38,25.258976513936602,85,25.268214137218667,83.03042371170915,26.59493606000001,2,1996,"{""type"":""Point"",""coordinates"":[83.03042371170915,25.268214137218667]}"
39,25.18187356016938,78,25.528934810403065,83.03362257530362,22.38051740000003,1,1996,"{""type"":""Point"",""coordinates"":[83.03362257530362,25.528934810403065]}"
40,25.411672539906988,81,25.222229558538807,82.9032635550839,26.40010891999998,2,1996,"{""type"":""Point"",""coordinates"":[82.9032635550839,25.222229558538807]}"
41,25.24328663272945,82,25.298727001516273,82.89773169010121,25.57294808000006,1,1996,"{""type"":""Point"",""coordinates"":[82.89773169010121,25.298727001516273]}"
42,25.435389631088242,79,25.186551794018747,82.8386099714596,29.271245720000024,3,1996,"{""type"":""Point"",""coordinates"":[82.8386099714596,25.186551794018747]}"
43,25.211508664692815,60,25.50791285816629,83.1668539415324,21.88319549000005,0,1996,"{""type"":""Point"",""coordinates"":[83.1668539415324,25.50791285816629]}"
44,25.162025930674645,81,25.521717060437073,82.90294164129955,20.823609290000036,2,1996,"{""type"":""Point"",""coordinates"":[82.90294164129955,25.521717060437073]}"
45,25.227776456859203,77,25.419943084255557,83.17306284872882,24.938905370000043,2,1996,"{""type"":""Point"",""coordinates"":[83.17306284872882,25.419943084255557]}"
46,25.127342131802095,85,25.41783223064015,82.74697745107538,18.952243339999995,1,1996,"{""type"":""Point"",""coordinates"":[82.74697745107538,25.41783223064015]}"
47,25.21100054004961,80,25.352953735719748,83.08294204167463,27.26828599999999,3,1996,"{""type"":""Point"",""coordinates"":[83.08294204167463,25.352953735719748]}"
48,25.19965547012947,77,25.373247606255386,83.03078965578473,21.99428114,2,1996,"{""type"":""Point"",""coordinates"":[83.03078965578473,25.373247606255386]}"
49,25.22233446199607,83,25.25053414475309,82.7554314384347,24.807311600000048,1,1996,"{""type"":""Point"",""coordinates"":[82.7554314384347,25.25053414475309]}"
50,25.411672539906988,85,25.227927565261812,82.85334544783028,24.56463217999999,2,1996,"{""type"":""Point"",""coordinates"":[82.85334544783028,25.227927565261812]}"
51,25.21100054004961,74,25.36848716332419,83.13915098286004,22.63515989000001,2,1996,"{""type"":""Point"",""coordinates"":[83.13915098286004,25.36848716332419]}"
52,25.411672539906988,81,25.217221584763756,82.8847256077735,27.722882659999982,3,1996,"{""type"":""Point"",""coordinates"":[82.8847256077735,25.217221584763756]}"
53,25.162025930674645,81,25.515126503196434,82.91234677371219,22.28139482000006,1,1996,"{""type"":""Point"",""coordinates"":[82.91234677371219,25.515126503196434]}"
54,25.14617083649648,82,25.354002699861194,82.77567280591317,26.140339400000016,1,1996,"{""type"":""Point"",""coordinates"":[82.77567280591317,25.354002699861194]}"
55,25.1715757309031,76,25.35319576262485,82.9166951213463,26.140339400000016,1,1996,"{""type"":""Point"",""coordinates"":[82.9166951213463,25.35319576262485]}"
56,25.20732103983562,84,25.28734945284721,82.7437209876429,20.052845779999984,1,1996,"{""type"":""Point"",""coordinates"":[82.7437209876429,25.28734945284721]}"
57,25.144378019359067,88,25.480161083243473,82.73843275460226,20.938112960000012,2,1996,"{""type"":""Point"",""coordinates"":[82.73843275460226,25.480161083243473]}"
58,25.21100054004961,79,25.39678249465104,83.08871049465844,19.459819310000057,2,1996,"{""type"":""Point"",""coordinates"":[83.08871049465844,25.39678249465104]}"
59,25.24328663272945,78,25.282547787496426,82.92458280635908,26.09932316000004,1,1996,"{""type"":""Point"",""coordinates"":[82.92458280635908,25.282547787496426]}"
60,25.227776456859203,75,25.396827311643822,83.17135737745878,23.74943441000005,1,1996,"{""type"":""Point"",""coordinates"":[83.17135737745878,25.396827311643822]}"
61,25.1715757309031,78,25.358330293488578,82.89742268981827,22.568508500000007,1,1996,"{""type"":""Point"",""coordinates"":[82.89742268981827,25.358330293488578]}"
62,25.18187356016938,80,25.515610577837734,83.02671155853916,21.495250220000003,1,1996,"{""type"":""Point"",""coordinates"":[83.02671155853916,25.515610577837734]}"
63,25.18187356016938,81,25.52701469496222,82.96277211818632,22.732573460000026,1,1996,"{""type"":""Point"",""coordinates"":[82.96277211818632,25.52701469496222]}"
64,25.258976513936602,85,25.343862712147857,82.9797334726363,24.899598140000023,2,1996,"{""type"":""Point"",""coordinates"":[82.9797334726363,25.343862712147857]}"
65,25.14617083649648,83,25.372619084755257,82.82767008200199,25.25165420000002,3,1996,"{""type"":""Point"",""coordinates"":[82.82767008200199,25.372619084755257]}"
66,25.258976513936602,82,25.317637724079468,82.96540644827536,26.782927159999986,3,1996,"{""type"":""Point"",""coordinates"":[82.96540644827536,25.317637724079468]}"
67,25.127342131802095,81,25.39509904868546,82.7230906656924,23.01626912000006,3,1996,"{""type"":""Point"",""coordinates"":[82.7230906656924,25.39509904868546]}"
68,25.24328663272945,81,25.30260148472851,82.85836657741747,19.03427582000006,3,1996,"{""type"":""Point"",""coordinates"":[82.85836657741747,25.30260148472851]}"
69,25.21100054004961,83,25.39533993106567,83.06936133460877,21.972064010000054,2,1996,"{""type"":""Point"",""coordinates"":[83.06936133460877,25.39533993106567]}"
70,25.24328663272945,82,25.29093271851471,82.8937452304204,25.59345619999999,1,1996,"{""type"":""Point"",""coordinates"":[82.8937452304204,25.29093271851471]}"
71,25.162025930674645,80,25.498768663375355,82.85270372949375,22.701811280000015,1,1996,"{""type"":""Point"",""coordinates"":[82.85270372949375,25.498768663375355]}"
72,25.411672539906988,81,25.23468117396938,82.89569931802306,27.100803020000058,3,1996,"{""type"":""Point"",""coordinates"":[82.89569931802306,25.23468117396938]}"
73,25.160620394144757,81,25.5574622869201,82.87602927974405,20.991092270000024,3,1996,"{""type"":""Point"",""coordinates"":[82.87602927974405,25.5574622869201]}"
74,25.127342131802095,84,25.35942730102419,82.71978450660517,26.10615919999998,1,1996,"{""type"":""Point"",""coordinates"":[82.71978450660517,25.35942730102419]}"
75,25.22233446199607,82,25.299110916874525,82.80162982890897,17.482494739999993,1,1996,"{""type"":""Point"",""coordinates"":[82.80162982890897,25.299110916874525]}"
76,25.19965547012947,80,25.420666312542767,82.9995085885568,17.750809310000022,3,1996,"{""type"":""Point"",""coordinates"":[82.9995085885568,25.420666312542767]}"
77,25.144378019359067,86,25.4627246123132,82.74262903870712,22.917146540000033,2,1996,"{""type"":""Point"",""coordinates"":[82.74262903870712,25.4627246123132]}"
78,25.227776456859203,65,25.416483380346538,83.18049579210916,26.948701130000018,2,1996,"{""type"":""Point"",""coordinates"":[83.18049579210916,25.416483380346538]}"
79,25.24328663272945,82,25.34483244392305,82.92156742281348,26.143757420000043,1,1996,"{""type"":""Point"",""coordinates"":[82.92156742281348,25.34483244392305]}"
80,25.160620394144757,83,25.565488432079974,82.89506294369491,19.36069673000003,2,1996,"{""type"":""Point"",""coordinates"":[82.89506294369491,25.565488432079974]}"
81,25.127342131802095,82,25.429358486093072,82.73628513551839,22.426660670000047,1,1996,"{""type"":""Point"",""coordinates"":[82.73628513551839,25.429358486093072]}"
82,25.20732103983562,83,25.29106490056641,82.72722001958152,20.02208360000003,1,1996,"{""type"":""Point"",""coordinates"":[82.72722001958152,25.29106490056641]}"
83,25.22233446199607,83,25.326426560316524,82.77985171209052,27.275122040000042,3,1996,"{""type"":""Point"",""coordinates"":[82.77985171209052,25.326426560316524]}"
84,25.20732103983562,84,25.303225018861895,82.6953819011734,26.09932316000004,3,1996,"{""type"":""Point"",""coordinates"":[82.6953819011734,25.303225018861895]}"
85,25.14617083649648,85,25.3517554597925,82.78772939655711,25.333686680000028,2,1996,"{""type"":""Point"",""coordinates"":[82.78772939655711,25.3517554597925]}"
86,25.258976513936602,84,25.29352219201389,82.99488788369814,26.212117820000003,2,1996,"{""type"":""Point"",""coordinates"":[82.99488788369814,25.29352219201389]}"
87,25.24328663272945,73,25.32802082547755,82.94154852061898,26.054888900000037,3,1996,"{""type"":""Point"",""coordinates"":[82.94154852061898,25.32802082547755]}"
88,25.20732103983562,84,25.32625974464352,82.70445705172371,22.81118792000001,1,1996,"{""type"":""Point"",""coordinates"":[82.70445705172371,25.32625974464352]}"
89,25.22233446199607,83,25.272621637128772,82.75259204736263,24.24675632000003,1,1996,"{""type"":""Point"",""coordinates"":[82.75259204736263,25.272621637128772]}"
90,25.19965547012947,79,25.403693832763242,82.97610556537738,22.476221960000032,1,1996,"{""type"":""Point"",""coordinates"":[82.97610556537738,25.403693832763242]}"
91,25.258976513936602,76,25.337115371692562,83.04288313182221,23.819503820000023,1,1996,"{""type"":""Point"",""coordinates"":[83.04288313182221,25.337115371692562]}"
92,25.144378019359067,84,25.460612941718473,82.74528094637463,23.411050430000046,2,1996,"{""type"":""Point"",""coordinates"":[82.74528094637463,25.460612941718473]}"
93,25.144378019359067,85,25.497684502923036,82.73469943349875,22.665922070000022,1,1996,"{""type"":""Point"",""coordinates"":[82.73469943349875,25.497684502923036]}"
94,25.435389631088242,84,25.202513154205345,82.82202945919174,26.071979000000056,2,1996,"{""type"":""Point"",""coordinates"":[82.82202945919174,25.202513154205345]}"
95,25.24328663272945,82,25.258358844274508,82.90836005524629,25.69599679999999,2,1996,"{""type"":""Point"",""coordinates"":[82.90836005524629,25.258358844274508]}"
96,25.162025930674645,79,25.508888092481218,82.85327055447449,21.573864680000042,3,1996,"{""type"":""Point"",""coordinates"":[82.85327055447449,25.508888092481218]}"
97,25.20732103983562,83,25.283808157006128,82.6969274717637,26.994844400000034,1,1996,"{""type"":""Point"",""coordinates"":[82.6969274717637,25.283808157006128]}"
98,25.14617083649648,81,25.35142959200515,82.80380451823444,24.475763659999984,3,1996,"{""type"":""Point"",""coordinates"":[82.80380451823444,25.35142959200515]}"
99,25.1715757309031,82,25.446938377250326,82.86577835763012,21.338021300000037,1,1996,"{""type"":""Point"",""coordinates"":[82.86577835763012,25.446938377250326]}"
100,25.144378019359067,85,25.491214892002013,82.71473234078141,22.971834860000058,1,1996,"{""type"":""Point"",""coordinates"":[82.71473234078141,25.491214892002013]}"
101,25.21100054004961,81,25.42065509426576,83.05511974577995,20.909059790000015,1,1996,"{""type"":""Point"",""coordinates"":[83.05511974577995,25.42065509426576]}"
102,25.435389631088242,75,25.198269369773865,82.78950957834766,30.173603000000014,2,1996,"{""type"":""Point"",""coordinates"":[82.78950957834766,25.198269369773865]}"
103,25.21100054004961,78,25.379785813824558,83.07885547967896,25.034609929999988,3,1996,"{""type"":""Point"",""coordinates"":[83.07885547967896,25.379785813824558]}"
104,25.22233446199607,81,25.261119726706816,82.82795826241961,20.158804400000008,2,1996,"{""type"":""Point"",""coordinates"":[82.82795826241961,25.261119726706816]}"
105,25.22233446199607,81,25.285217394759897,82.8447985470344,26.680386559999988,3,1996,"{""type"":""Point"",""coordinates"":[82.8447985470344,25.285217394759897]}"
106,25.14617083649648,76,25.386633261360092,82.7830999130065,28.191151400000024,3,1996,"{""type"":""Point"",""coordinates"":[82.7830999130065,25.386633261360092]}"
107,25.152285946014217,82,25.51678139786368,82.79224879044806,22.266013730000054,2,1996,"{""type"":""Point"",""coordinates"":[82.79224879044806,25.51678139786368]}"
108,25.411672539906988,84,25.24064242884032,82.85509991510429,24.59197634000003,1,1996,"{""type"":""Point"",""coordinates"":[82.85509991510429,25.24064242884032]}"
109,25.18187356016938,81,25.545047468710628,83.00869194106697,22.153219069999977,1,1996,"{""type"":""Point"",""coordinates"":[83.00869194106697,25.545047468710628]}"
110,25.1715757309031,83,25.41926184893255,82.85059798166883,20.187857570000006,3,1996,"{""type"":""Point"",""coordinates"":[82.85059798166883,25.41926184893255]}"
111,25.18187356016938,78,25.52856790811689,83.02141193001326,22.55654543000003,1,1996,"{""type"":""Point"",""coordinates"":[83.02141193001326,25.52856790811689]}"
112,25.211508664692815,68,25.503345707676694,83.15547660086445,24.010912940000026,3,1996,"{""type"":""Point"",""coordinates"":[83.15547660086445,25.503345707676694]}"
113,25.162025930674645,84,25.452179783609438,82.89758825227106,21.549938540000028,1,1996,"{""type"":""Point"",""coordinates"":[82.89758825227106,25.452179783609438]}"
114,25.19965547012947,79,25.449260708249682,83.01023437507187,22.289939870000012,1,1996,"{""type"":""Point"",""coordinates"":[83.01023437507187,25.449260708249682]}"
115,25.190340000309334,78,25.514445155148636,83.11671919312124,21.85756034000002,1,1996,"{""type"":""Point"",""coordinates"":[83.11671919312124,25.514445155148636]}"
116,25.190340000309334,77,25.45967889890071,83.0612528851118,22.334374130000015,1,1996,"{""type"":""Point"",""coordinates"":[83.0612528851118,25.45967889890071]}"
117,25.21100054004961,80,25.395273033225955,83.08717534471612,23.581951430000004,1,1996,"{""type"":""Point"",""coordinates"":[83.08717534471612,25.395273033225955]}"
118,25.1715757309031,80,25.40679829467614,82.94759034509082,21.16199327000004,1,1996,"{""type"":""Point"",""coordinates"":[82.94759034509082,25.40679829467614]}"
119,25.152285946014217,84,25.495430504389304,82.74995747829638,21.58582775000002,2,1996,"{""type"":""Point"",""coordinates"":[82.74995747829638,25.495430504389304]}"
120,25.24328663272945,81,25.349224726783426,82.90403610979563,26.061724939999976,1,1996,"{""type"":""Point"",""coordinates"":[82.90403610979563,25.349224726783426]}"
121,25.22233446199607,81,25.276666909939358,82.8285492649657,24.164723840000022,1,1996,"{""type"":""Point"",""coordinates"":[82.8285492649657,25.276666909939358]}"
122,25.411672539906988,76,25.22868599242329,82.90288707582674,27.5929979,1,1996,"{""type"":""Point"",""coordinates"":[82.90288707582674,25.22868599242329]}"
123,25.1715757309031,83,25.383074719198145,82.90621005371736,26.731656860000044,1,1996,"{""type"":""Point"",""coordinates"":[82.90621005371736,25.383074719198145]}"
124,25.18187356016938,80,25.539285196517117,83.0079981236589,20.994510289999994,1,1996,"{""type"":""Point"",""coordinates"":[83.0079981236589,25.539285196517117]}"
125,25.144378019359067,86,25.456772089431052,82.72826548889019,23.52897212000005,3,1996,"{""type"":""Point"",""coordinates"":[82.72826548889019,25.456772089431052]}"
126,25.24328663272945,78,25.265487913523184,82.89997494715274,25.66181660000001,3,1996,"{""type"":""Point"",""coordinates"":[82.89997494715274,25.265487913523184]}"
127,25.19965547012947,78,25.42731801916907,83.01971402228966,23.224768340000026,1,1996,"{""type"":""Point"",""coordinates"":[83.01971402228966,25.42731801916907]}"
128,25.152285946014217,82,25.450848732430025,82.77336084423291,21.332894269999997,2,1996,"{""type"":""Point"",""coordinates"":[82.77336084423291,25.450848732430025]}"
129,25.19965547012947,80,25.350419109936794,82.97192797785702,24.903016159999993,2,1996,"{""type"":""Point"",""coordinates"":[82.97192797785702,25.350419109936794]}"
130,25.1715757309031,74,25.388027095793987,82.85369352363655,26.56075586000003,2,1996,"{""type"":""Point"",""coordinates"":[82.85369352363655,25.388027095793987]}"
131,25.24328663272945,82,25.259412192758735,82.8632365326045,25.422555200000033,1,1996,"{""type"":""Point"",""coordinates"":[82.8632365326045,25.259412192758735]}"
