system:index,air_temp,elevation,lat,lng,lst,lulc,year,.geo
51,18.215983204175075,74,25.36848716332419,83.13915098286004,27.45798610999998,2,2020,"{""type"":""Point"",""coordinates"":[83.13915098286004,25.36848716332419]}"
52,18.352536568590438,81,25.217221584763756,82.8847256077735,24.144215720000034,1,2020,"{""type"":""Point"",""coordinates"":[82.8847256077735,25.217221584763756]}"
53,18.08536884485619,81,25.515126503196434,82.91234677371219,25.697705810000002,2,2020,"{""type"":""Point"",""coordinates"":[82.91234677371219,25.515126503196434]}"
54,18.092496176005227,82,25.354002699861194,82.77567280591317,23.95280660000003,1,2020,"{""type"":""Point"",""coordinates"":[82.77567280591317,25.354002699861194]}"
55,18.126158705407022,76,25.35319576262485,82.9166951213463,26.112995240000032,2,2020,"{""type"":""Point"",""coordinates"":[82.9166951213463,25.35319576262485]}"
56,18.17428678560435,84,25.28734945284721,82.7437209876429,25.085880230000043,2,2020,"{""type"":""Point"",""coordinates"":[82.7437209876429,25.28734945284721]}"
57,18.028475328671107,88,25.480161083243473,82.73843275460226,20.85949850000003,3,2020,"{""type"":""Point"",""coordinates"":[82.73843275460226,25.480161083243473]}"
58,18.215983204175075,79,25.39678249465104,83.08871049465844,28.679928259999997,2,2020,"{""type"":""Point"",""coordinates"":[83.08871049465844,25.39678249465104]}"
59,18.193378757490507,78,25.282547787496426,82.92458280635908,25.340522720000024,1,2020,"{""type"":""Point"",""coordinates"":[82.92458280635908,25.282547787496426]}"
60,18.23355520378294,75,25.396827311643822,83.17135737745878,26.69405863999998,1,2020,"{""type"":""Point"",""coordinates"":[83.17135737745878,25.396827311643822]}"
61,18.126158705407022,78,25.358330293488578,82.89742268981827,26.118122270000015,0,2020,"{""type"":""Point"",""coordinates"":[82.89742268981827,25.358330293488578]}"
62,18.11537976555502,80,25.515610577837734,83.02671155853916,27.14523728000006,2,2020,"{""type"":""Point"",""coordinates"":[83.02671155853916,25.515610577837734]}"
63,18.11537976555502,81,25.52701469496222,82.96277211818632,26.07710602999998,1,2020,"{""type"":""Point"",""coordinates"":[82.96277211818632,25.52701469496222]}"
64,18.24020125413034,85,25.343862712147857,82.9797334726363,24.376641080000013,2,2020,"{""type"":""Point"",""coordinates"":[82.9797334726363,25.343862712147857]}"
65,18.092496176005227,83,25.372619084755257,82.82767008200199,25.95234830000004,3,2020,"{""type"":""Point"",""coordinates"":[82.82767008200199,25.372619084755257]}"
66,18.24020125413034,82,25.317637724079468,82.96540644827536,27.796370089999982,2,2020,"{""type"":""Point"",""coordinates"":[82.96540644827536,25.317637724079468]}"
67,18.0631730493252,81,25.39509904868546,82.7230906656924,27.505838390000008,1,2020,"{""type"":""Point"",""coordinates"":[82.7230906656924,25.39509904868546]}"
68,18.193378757490507,81,25.30260148472851,82.85836657741747,27.326392339999984,3,2020,"{""type"":""Point"",""coordinates"":[82.85836657741747,25.30260148472851]}"
69,18.215983204175075,83,25.39533993106567,83.06936133460877,25.682324719999997,1,2020,"{""type"":""Point"",""coordinates"":[83.06936133460877,25.39533993106567]}"
70,18.193378757490507,82,25.29093271851471,82.8937452304204,24.73895120000003,1,2020,"{""type"":""Point"",""coordinates"":[82.8937452304204,25.29093271851471]}"
71,18.08536884485619,80,25.498768663375355,82.85270372949375,27.76218989000006,1,2020,"{""type"":""Point"",""coordinates"":[82.85270372949375,25.498768663375355]}"
72,18.352536568590438,81,25.23468117396938,82.89569931802306,24.622738519999984,1,2020,"{""type"":""Point"",""coordinates"":[82.89569931802306,25.23468117396938]}"
73,18.029924421412943,81,25.5574622869201,82.87602927974405,21.954973910000035,2,2020,"{""type"":""Point"",""coordinates"":[82.87602927974405,25.5574622869201]}"
74,18.0631730493252,84,25.35942730102419,82.71978450660517,21.881486480000035,1,2020,"{""type"":""Point"",""coordinates"":[82.71978450660517,25.35942730102419]}"
75,18.171636240969463,82,25.299110916874525,82.80162982890897,25.877151860000026,3,2020,"{""type"":""Point"",""coordinates"":[82.80162982890897,25.299110916874525]}"
76,18.18313710202449,80,25.420666312542767,82.9995085885568,25.815627500000005,1,2020,"{""type"":""Point"",""coordinates"":[82.9995085885568,25.420666312542767]}"
77,18.028475328671107,86,25.4627246123132,82.74262903870712,26.528284670000005,2,2020,"{""type"":""Point"",""coordinates"":[82.74262903870712,25.4627246123132]}"
78,18.23355520378294,65,25.416483380346538,83.18049579210916,32.82256849999999,0,2020,"{""type"":""Point"",""coordinates"":[83.18049579210916,25.416483380346538]}"
79,18.193378757490507,82,25.34483244392305,82.92156742281348,23.993822840000007,1,2020,"{""type"":""Point"",""coordinates"":[82.92156742281348,25.34483244392305]}"
80,18.029924421412943,83,25.565488432079974,82.89506294369491,23.129063780000024,2,2020,"{""type"":""Point"",""coordinates"":[82.89506294369491,25.565488432079974]}"
81,18.0631730493252,82,25.429358486093072,82.73628513551839,27.240941840000005,2,2020,"{""type"":""Point"",""coordinates"":[82.73628513551839,25.429358486093072]}"
82,18.17428678560435,83,25.29106490056641,82.72722001958152,20.891969689999996,2,2020,"{""type"":""Point"",""coordinates"":[82.72722001958152,25.29106490056641]}"
83,18.171636240969463,83,25.326426560316524,82.77985171209052,18.603605300000027,2,2020,"{""type"":""Point"",""coordinates"":[82.77985171209052,25.326426560316524]}"
84,18.17428678560435,84,25.303225018861895,82.6953819011734,21.368783480000047,3,2020,"{""type"":""Point"",""coordinates"":[82.6953819011734,25.303225018861895]}"
85,18.092496176005227,85,25.3517554597925,82.78772939655711,24.446710489999987,3,2020,"{""type"":""Point"",""coordinates"":[82.78772939655711,25.3517554597925]}"
86,18.24020125413034,84,25.29352219201389,82.99488788369814,24.11174453000001,2,2020,"{""type"":""Point"",""coordinates"":[82.99488788369814,25.29352219201389]}"
87,18.193378757490507,73,25.32802082547755,82.94154852061898,24.106617500000027,1,2020,"{""type"":""Point"",""coordinates"":[82.94154852061898,25.32802082547755]}"
88,18.17428678560435,84,25.32625974464352,82.70445705172371,20.300652230000026,2,2020,"{""type"":""Point"",""coordinates"":[82.70445705172371,25.32625974464352]}"
89,18.171636240969463,83,25.272621637128772,82.75259204736263,27.526346510000053,1,2020,"{""type"":""Point"",""coordinates"":[82.75259204736263,25.272621637128772]}"
90,18.18313710202449,79,25.403693832763242,82.97610556537738,26.76071003000004,3,2020,"{""type"":""Point"",""coordinates"":[82.97610556537738,25.403693832763242]}"
91,18.24020125413034,76,25.337115371692562,83.04288313182221,23.850266000000033,2,2020,"{""type"":""Point"",""coordinates"":[83.04288313182221,25.337115371692562]}"
92,18.028475328671107,84,25.460612941718473,82.74528094637463,27.83567732000006,1,2020,"{""type"":""Point"",""coordinates"":[82.74528094637463,25.460612941718473]}"
93,18.028475328671107,85,25.497684502923036,82.73469943349875,18.444667370000047,1,2020,"{""type"":""Point"",""coordinates"":[82.73469943349875,25.497684502923036]}"
94,18.35549688305059,84,25.202513154205345,82.82202945919174,26.369346740000026,2,2020,"{""type"":""Point"",""coordinates"":[82.82202945919174,25.202513154205345]}"
95,18.193378757490507,82,25.258358844274508,82.90836005524629,24.330497809999997,2,2020,"{""type"":""Point"",""coordinates"":[82.90836005524629,25.258358844274508]}"
96,18.08536884485619,79,25.508888092481218,82.85327055447449,25.14398657000004,2,2020,"{""type"":""Point"",""coordinates"":[82.85327055447449,25.508888092481218]}"
97,18.17428678560435,83,25.283808157006128,82.6969274717637,27.847640390000038,1,2020,"{""type"":""Point"",""coordinates"":[82.6969274717637,25.283808157006128]}"
98,18.092496176005227,81,25.35142959200515,82.80380451823444,26.16768356,1,2020,"{""type"":""Point"",""coordinates"":[82.80380451823444,25.35142959200515]}"
99,18.126158705407022,82,25.446938377250326,82.86577835763012,26.612026160000028,2,2020,"{""type"":""Point"",""coordinates"":[82.86577835763012,25.446938377250326]}"
100,18.028475328671107,85,25.491214892002013,82.71473234078141,26.09932316000004,1,2020,"{""type"":""Point"",""coordinates"":[82.71473234078141,25.491214892002013]}"
101,18.215983204175075,81,25.42065509426576,83.05511974577995,26.952119150000044,2,2020,"{""type"":""Point"",""coordinates"":[83.05511974577995,25.42065509426576]}"
102,18.35549688305059,75,25.198269369773865,82.78950957834766,24.523615940000013,1,2020,"{""type"":""Point"",""coordinates"":[82.78950957834766,25.198269369773865]}"
103,18.215983204175075,78,25.379785813824558,83.07885547967896,27.26486798000002,1,2020,"{""type"":""Point"",""coordinates"":[83.07885547967896,25.379785813824558]}"
104,18.171636240969463,81,25.261119726706816,82.82795826241961,20.122915190000015,2,2020,"{""type"":""Point"",""coordinates"":[82.82795826241961,25.261119726706816]}"
105,18.171636240969463,81,25.285217394759897,82.8447985470344,29.175541160000023,2,2020,"{""type"":""Point"",""coordinates"":[82.8447985470344,25.285217394759897]}"
106,18.092496176005227,76,25.386633261360092,82.7830999130065,26.47359634999998,1,2020,"{""type"":""Point"",""coordinates"":[82.7830999130065,25.386633261360092]}"
107,18.057945464759825,82,25.51678139786368,82.79224879044806,27.266576990000033,1,2020,"{""type"":""Point"",""coordinates"":[82.79224879044806,25.51678139786368]}"
108,18.352536568590438,84,25.24064242884032,82.85509991510429,23.029941200000053,2,2020,"{""type"":""Point"",""coordinates"":[82.85509991510429,25.24064242884032]}"
109,18.11537976555502,81,25.545047468710628,83.00869194106697,23.26065755000002,3,2020,"{""type"":""Point"",""coordinates"":[83.00869194106697,25.545047468710628]}"
110,18.126158705407022,83,25.41926184893255,82.85059798166883,28.898681539999984,1,2020,"{""type"":""Point"",""coordinates"":[82.85059798166883,25.41926184893255]}"
111,18.11537976555502,78,25.52856790811689,83.02141193001326,27.70921057999999,1,2020,"{""type"":""Point"",""coordinates"":[83.02141193001326,25.52856790811689]}"
112,18.164555287788403,68,25.503345707676694,83.15547660086445,28.20653249000003,1,2020,"{""type"":""Point"",""coordinates"":[83.15547660086445,25.503345707676694]}"
113,18.08536884485619,84,25.452179783609438,82.89758825227106,25.289252420000025,1,2020,"{""type"":""Point"",""coordinates"":[82.89758825227106,25.452179783609438]}"
114,18.18313710202449,79,25.449260708249682,83.01023437507187,25.547312930000032,3,2020,"{""type"":""Point"",""coordinates"":[83.01023437507187,25.449260708249682]}"
115,18.13857487504208,78,25.514445155148636,83.11671919312124,25.81220947999998,1,2020,"{""type"":""Point"",""coordinates"":[83.11671919312124,25.514445155148636]}"
116,18.13857487504208,77,25.45967889890071,83.0612528851118,25.880569880000053,2,2020,"{""type"":""Point"",""coordinates"":[83.0612528851118,25.45967889890071]}"
117,18.215983204175075,80,25.395273033225955,83.08717534471612,28.05955763000003,1,2020,"{""type"":""Point"",""coordinates"":[83.08717534471612,25.395273033225955]}"
118,18.126158705407022,80,25.40679829467614,82.94759034509082,27.514383440000017,1,2020,"{""type"":""Point"",""coordinates"":[82.94759034509082,25.40679829467614]}"
119,18.057945464759825,84,25.495430504389304,82.74995747829638,19.241066030000013,2,2020,"{""type"":""Point"",""coordinates"":[82.74995747829638,25.495430504389304]}"
120,18.193378757490507,81,25.349224726783426,82.90403610979563,25.846389680000016,1,2020,"{""type"":""Point"",""coordinates"":[82.90403610979563,25.349224726783426]}"
121,18.171636240969463,81,25.276666909939358,82.8285492649657,25.54218590000005,1,2020,"{""type"":""Point"",""coordinates"":[82.8285492649657,25.276666909939358]}"
122,18.352536568590438,76,25.22868599242329,82.90288707582674,24.520197919999987,1,2020,"{""type"":""Point"",""coordinates"":[82.90288707582674,25.22868599242329]}"
123,18.126158705407022,83,25.383074719198145,82.90621005371736,27.41184284000002,3,2020,"{""type"":""Point"",""coordinates"":[82.90621005371736,25.383074719198145]}"
124,18.11537976555502,80,25.539285196517117,83.0079981236589,24.60393941000001,2,2020,"{""type"":""Point"",""coordinates"":[83.0079981236589,25.539285196517117]}"
125,18.028475328671107,86,25.456772089431052,82.72826548889019,28.550043500000015,1,2020,"{""type"":""Point"",""coordinates"":[82.72826548889019,25.456772089431052]}"
126,18.193378757490507,78,25.265487913523184,82.89997494715274,24.424493360000042,2,2020,"{""type"":""Point"",""coordinates"":[82.89997494715274,25.265487913523184]}"
127,18.18313710202449,78,25.42731801916907,83.01971402228966,26.629116260000046,2,2020,"{""type"":""Point"",""coordinates"":[83.01971402228966,25.42731801916907]}"
128,18.057945464759825,82,25.450848732430025,82.77336084423291,25.605419270000027,3,2020,"{""type"":""Point"",""coordinates"":[82.77336084423291,25.450848732430025]}"
129,18.18313710202449,80,25.350419109936794,82.97192797785702,24.446710489999987,2,2020,"{""type"":""Point"",""coordinates"":[82.97192797785702,25.350419109936794]}"
130,18.126158705407022,74,25.388027095793987,82.85369352363655,25.971147410000015,1,2020,"{""type"":""Point"",""coordinates"":[82.85369352363655,25.388027095793987]}"
131,18.193378757490507,82,25.259412192758735,82.8632365326045,24.795348530000012,1,2020,"{""type"":""Point"",""coordinates"":[82.8632365326045,25.259412192758735]}"
132,18.24020125413034,82,25.32020589992758,82.99261874895812,25.190129840000054,2,2020,"{""type"":""Point"",""coordinates"":[82.99261874895812,25.32020589992758]}"
133,18.215983204175075,76,25.380907836064495,83.1059170330605,26.112995240000032,3,2020,"{""type"":""Point"",""coordinates"":[83.1059170330605,25.380907836064495]}"
134,18.193378757490507,81,25.250562351383664,82.90478133170215,24.113453540000023,2,2020,"{""type"":""Point"",""coordinates"":[82.90478133170215,25.250562351383664]}"
135,18.171636240969463,85,25.261635165144124,82.75059939708959,25.130314490000046,1,2020,"{""type"":""Point"",""coordinates"":[82.75059939708959,25.261635165144124]}"
136,18.13857487504208,57,25.480708658972496,83.14859776187608,21.655897159999995,0,2020,"{""type"":""Point"",""coordinates"":[83.14859776187608,25.480708658972496]}"
137,18.057945464759825,82,25.508772409784527,82.80171673578413,24.684262880000006,1,2020,"{""type"":""Point"",""coordinates"":[82.80171673578413,25.508772409784527]}"
